#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
49.5%,4950000,9900.000001099395,-1647973.5420327988,254647.07591705708,-1393326.4661157418,300.3236274297735,1045.2132057683134,0.9752688559959105,213,1:08:21
50.0%,5000000,10000.000001119768,-1647179.1045117145,255797.1214970301,-1391381.9830146844,301.67995896840694,1045.2132057683134,0.9752688559959105,213,1:07:41
50.5%,5050000,10100.00000114014,-1647004.2895703139,254197.53515314253,-1392806.7544171712,299.79345164664244,1045.2132057683134,0.9752688559959105,213,1:07:00
51.0%,5100000,10200.000001160513,-1648313.99342715,254926.6131497292,-1393387.3802774209,300.6533058107855,1045.2132057683134,0.9752688559959105,213,1:06:19
51.5%,5150000,10300.000001180886,-1647740.3755502282,254489.7987497286,-1393250.5768004996,300.138139144727,1045.2132057683134,0.9752688559959105,213,1:05:39
52.0%,5200000,10400.000001201259,-1646959.8507676022,254709.67664239497,-1392250.1741252071,300.3974569714853,1045.2132057683134,0.9752688559959105,213,1:04:58
52.5%,5250000,10500.000001221631,-1646541.5411810363,254444.32885513097,-1392097.2123259052,300.0845132248721,1045.2132057683134,0.9752688559959105,213,1:04:18
53.0%,5300000,10600.000001242004,-1645435.0921581257,255286.57609033294,-1390148.5160677927,301.07783601861564,1045.2132057683134,0.9752688559959105,213,1:03:37
53.5%,5350000,10700.000001262377,-1646960.7405587267,252873.1656588701,-1394087.5748998567,298.2315273671476,1045.2132057683134,0.9752688559959105,213,1:02:57
54.0%,5400000,10800.00000128275,-1647474.6908159917,253809.72244291054,-1393664.9683730812,299.33607620072064,1045.2132057683134,0.9752688559959105,213,1:02:16
54.5%,5450000,10900.000001303122,-1645766.8056622716,255409.74943514925,-1390357.0562271224,301.22310321080573,1045.2132057683134,0.9752688559959105,213,1:01:35
55.0%,5500000,11000.000001323495,-1646722.6686009048,255245.9482244337,-1391476.720376471,301.0299206517588,1045.2132057683134,0.9752688559959105,213,1:00:55
55.5%,5550000,11100.000001343868,-1646380.8077746164,255535.4668196414,-1390845.340954975,301.3713707721186,1045.2132057683134,0.9752688559959105,213,1:00:14
56.0%,5600000,11200.00000136424,-1647340.342779019,254727.6145615073,-1392612.7282175117,300.41861245075785,1045.2132057683134,0.9752688559959105,213,59:34
56.5%,5650000,11300.000001384613,-1649693.8952742713,255250.234801345,-1394443.6604729262,301.03497612048005,1045.2132057683134,0.9752688559959105,213,58:53
