Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class
ENSG00000092969	TGFB2	P61812	1.5	6.5	4.5	6.0	Transforming growth factor beta 2	Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins
ENSG00000075429	CACNG5	Q9UF02	1.5	3.1	0.1	0.0	Calcium voltage-gated channel auxiliary subunit gamma 5	FDA approved drug targets, Predicted membrane proteins
ENSG00000132026	RTBDN	Q9BSG5	1.5	13.3	0.0	0.0	Retbindin	Predicted intracellular proteins, Predicted secreted proteins, Transporters
ENSG00000119681	LTBP2	Q14767	1.5	1.4	13.1	44.1	Latent transforming growth factor beta binding protein 2	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000162614	NEXN	Q0ZGT2	1.5	1.2	633.7	378.9	Nexilin F-actin binding protein	Disease related genes, Human disease related genes, Predicted intracellular proteins
ENSG00000183397	TEKTIP1	A6NCJ1	1.5	4.2	2.4	2.4	Tektin bundle interacting protein 1	Predicted intracellular proteins
ENSG00000171401	KRT13	P13646	1.5	3.4	8.8	8.6	Keratin 13	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000165434	PGM2L1	Q6PCE3	1.5	37.1	5.5	1.1	Phosphoglucomutase 2 like 1	Enzymes, Metabolic proteins, Predicted intracellular proteins
ENSG00000196440	ARMCX4	Q5H9R4	1.5	4.5	1.8	1.7	Armadillo repeat containing X-linked 4	Predicted intracellular proteins
ENSG00000196542	SPTSSB	Q8NFR3	1.5	14.6	0.2	0.3	Serine palmitoyltransferase small subunit B	Predicted membrane proteins
ENSG00000107669	ATE1	O95260	1.5	10.5	13.7	20.2	Arginyltransferase 1	Enzymes, Metabolic proteins, Predicted intracellular proteins
ENSG00000111696	NT5DC3	Q86UY8	1.5	8.7	7.2	1.8	5'-nucleotidase domain containing 3	Metabolic proteins, Predicted intracellular proteins
ENSG00000137601	NEK1	Q96PY6	1.5	5.2	2.3	5.4	NIMA related kinase 1	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins
ENSG00000100483	VCPKMT	Q9H867	1.5	5.5	2.1	2.2	Valosin containing protein lysine methyltransferase	Predicted intracellular proteins
ENSG00000161682	FAM171A2	A8MVW0	1.5	16.1	0.1	0.7	Family with sequence similarity 171 member A2	Predicted membrane proteins
ENSG00000163576	EFHB	Q8N7U6	1.5	2.3	0.2	0.2	EF-hand domain family member B	Predicted intracellular proteins
ENSG00000100526	CDKN3	Q16667	1.5	4.5	3.0	5.2	Cyclin dependent kinase inhibitor 3	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins
ENSG00000164488	DACT2	Q5SW24	1.5	1.7	0.2	5.1	Dishevelled binding antagonist of beta catenin 2	Predicted intracellular proteins
ENSG00000124575	H1-3	P16402	1.5	0.1	0.0	0.4	H1.3 linker histone, cluster member	Predicted intracellular proteins
ENSG00000108018	SORCS1	Q8WY21	1.5	7.1	0.3	3.0	Sortilin related VPS10 domain containing receptor 1	Predicted membrane proteins, Transporters
ENSG00000030419	IKZF2	Q9UKS7	1.5	1.8	3.9	1.7	IKAROS family zinc finger 2	Predicted intracellular proteins, Transcription factors
ENSG00000131042	LILRB2	Q8N423	1.5	0.4	0.6	2.4	Leukocyte immunoglobulin like receptor B2	CD markers, Predicted membrane proteins
ENSG00000131044	TTLL9	Q3SXZ7	1.5	0.8	0.0	0.0	Tubulin tyrosine ligase like 9	Cancer-related genes, Predicted intracellular proteins
ENSG00000077264	PAK3	O75914	1.5	18.9	1.4	0.1	P21 (RAC1) activated kinase 3	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins
ENSG00000144331	ZNF385B	Q569K4	1.5	13.4	16.2	22.8	Zinc finger protein 385B	Predicted intracellular proteins
ENSG00000144366	GULP1	Q9UBP9	1.5	5.8	7.6	4.7	GULP PTB domain containing engulfment adaptor 1	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins
