geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC002127.2,0.0,,,,,
AC002127.4,0.0,,,,,
AC002128.5,0.0,,,,,
AC002306.1,0.0,,,,,
AC002310.10,0.0,,,,,
AC002310.12,61.96975206244886,-0.2178135950967839,0.22593745065304682,-0.9640437849821628,0.33502397448291565,0.4974254265203968
AC002310.13,0.0,,,,,
AC002310.14,3.203876007546062,0.38030417298760594,0.8340792468292645,0.45595688231462966,0.6484209843081602,
AC002310.17,0.0,,,,,
AC002310.7,3.4329531641387288,-0.3031820751420758,0.858560339959044,-0.353128441917709,0.723992151131935,
AC002314.4,0.0,,,,,
AC002331.1,0.0,,,,,
AC002365.5,0.12495312725183262,0.5029727146496928,3.945759503654211,0.1274717108794604,0.898567061955097,
AC002366.1,0.0,,,,,
AC002366.3,0.0,,,,,
AC002368.4,0.0,,,,,
AC002383.2,0.0,,,,,
AC002386.1,0.0,,,,,
AC002389.1,0.0,,,,,
AC002395.1,0.0,,,,,
AC002398.11,0.12495312725183262,0.5029727146496928,3.945759503654211,0.1274717108794604,0.898567061955097,
AC002398.12,0.18664152441071602,-0.4588143613978259,3.706152491059232,-0.12379802571660915,0.9014751950398333,
AC002398.13,0.0,,,,,
AC002398.9,93.14981007985696,0.6518623820468396,0.28616387953543926,2.2779338297519525,0.02273052032683755,0.0659783769282989
AC002400.1,0.0,,,,,
AC002401.1,0.0,,,,,
AC002429.1,0.0,,,,,
AC002429.4,0.0,,,,,
AC002429.5,0.0,,,,,
AC002451.3,0.5273976187888354,0.6319509890274073,2.6839277765339835,0.23545752406329915,0.8138536430232652,
AC002454.1,32.48477097320631,0.041585203526059544,0.328992553509312,0.1264016558504948,0.899413991487666,0.9421239766270857
AC002456.2,3.7523782335775584,-1.777592546240413,0.770282371850127,-2.307715470588852,0.021014967040580666,
AC002463.3,0.0,,,,,
AC002465.2,0.0,,,,,
AC002467.7,62.31925014450266,-0.29012957771900016,0.24317850985437137,-1.1930724384023312,0.2328410046018965,0.3845861574753042
AC002472.11,0.0,,,,,
AC002480.2,0.0,,,,,
AC002480.3,0.0,,,,,
AC002480.4,0.0,,,,,
AC002480.5,0.0,,,,,
AC002486.2,0.0,,,,,
AC002486.3,0.0,,,,,
AC002511.2,0.0,,,,,
AC002511.3,0.0,,,,,
AC002519.6,0.09313763290636488,-0.9397098229957397,3.7774959040443954,-0.24876527913362778,0.8035423501633268,
AC002519.8,0.18886801713648532,-0.45881436139782683,3.706152491059232,-0.12379802571660942,0.9014751950398331,
AC002523.1,0.0,,,,,
AC002539.1,0.0,,,,,
AC002539.2,0.0,,,,,
AC002542.2,0.0,,,,,
AC002543.2,0.0,,,,,
AC002550.5,0.8027108778380457,-0.25083488172440044,2.4568796043771535,-0.10209490171090004,0.9186813477154818,
AC002550.6,6.642808773734559,-0.06382152968780228,0.5845914273896158,-0.1091728798911497,0.913065370425205,0.9504043164493984
AC002551.1,0.0,,,,,
AC002553.4,0.0,,,,,
AC002558.1,0.0,,,,,
AC002978.1,0.0,,,,,
AC002979.1,0.0,,,,,
AC002981.1,0.0,,,,,
AC002984.2,0.0,,,,,
AC002985.3,0.27811913011733824,-1.1979017447154146,3.5989143443237777,-0.3328508628177689,0.7392468621939741,
AC003001.1,0.0,,,,,
AC003002.4,0.0,,,,,
AC003002.6,3.2258615293489408,1.324849126962506,0.8887103743996889,1.4907546543016588,0.13602592103700026,
AC003003.5,0.0,,,,,
AC003005.2,0.9522416187796718,2.9825650180885583,2.7504792608737043,1.084380115318932,0.2781962965594299,
AC003005.4,0.0,,,,,
AC003006.1,0.0,,,,,
AC003006.7,2.1599185535691143,0.22934380682696742,1.0937876109546207,0.20967855599205765,0.8339185633250397,
AC003009.1,0.0,,,,,
AC003009.2,0.0,,,,,
AC003013.1,0.0,,,,,
AC003045.1,0.0,,,,,
AC003075.4,0.0,,,,,
AC003080.4,0.0,,,,,
AC003084.2,0.0,,,,,
AC003088.1,4.495364942858833,3.343014390857974,1.1515297653359784,2.90310723308363,0.0036948010152387393,
AC003090.1,8.111286666659959,0.2957397352715593,0.5132338923125774,0.5762279921518577,0.5644610870724767,0.704679111990941
AC003092.1,1.3106747318641347,3.395945595192016,2.260263477535369,1.5024556335772916,0.13297947773775415,
AC003092.2,0.0,,,,,
AC003101.1,0.0,,,,,
AC003102.3,9.09244117503079,1.0498377727094772,0.5532974536587433,1.8974202136071723,0.05777249990092382,0.13524322917741274
AC003104.1,1.0131787666799832,0.36501083610798946,1.9358413926822375,0.18855410235971995,0.8504423084404586,
AC003658.1,0.0,,,,,
AC003664.1,0.0,,,,,
