,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GANC,744.6988785446722,-0.07414367225094244,0.1728316629418291,-0.4289935709054502,0.6679279034034303,0.8298908842750956
CAPN3,351.08855131086733,-0.4058018976433228,0.3797250209488573,-1.0686730535409665,0.2852170177279234,0.5337680056086413
ZNF106,6476.841155429869,0.02607510547984794,0.23971904269934438,0.10877360924785329,0.9133820563621934,0.9604958497901595
SNAP23,725.6224479884106,-0.04207490565096015,0.1963617086362486,-0.21427245639271786,0.830334595837025,0.9214456479097695
LRRC57,555.7646451383982,-0.090114233670011,0.08577000149933814,-1.0506497854113526,0.2934194665410762,0.5431292019871987
HAUS2,599.6149180890167,0.3910664928506542,0.18882490598434415,2.071053555207798,0.038353791514905256,0.17069600092497253
STARD9,3559.943537919101,0.08087608365511831,0.14289957006159745,0.5659644995450744,0.5714179136618358,0.7678837518660511
CDAN1,1205.3067020580165,-0.25035500609382055,0.12304768208922677,-2.0346178151676044,0.04188934339015945,0.17786495158488064
TTBK2,2943.4344182054533,0.03753061809500687,0.09762359712721638,0.3844420734271811,0.7006508218203994,0.8500730973824362
UBR1,3478.867372298527,-0.15504634749080506,0.11396788665483987,-1.3604389099569278,0.17369107247232363,0.4047478085868516
TMEM62,464.143448830669,-0.14428678545703202,0.238269933489759,-0.6055601869013556,0.5448068466522475,0.749937962446178
CCNDBP1,1020.9598311410443,0.032611603957872694,0.19517281204269907,0.16709091607871113,0.8672985134538419,0.9389240873910031
EPB42,10.80155427034389,0.9345224729671545,0.759058055549695,1.231160734194951,0.2182627539800125,0.46043617652364754
LCMT2,309.4053777896574,-0.591838885106415,0.2295913958782155,-2.5777920938306855,0.009943380399873124,0.07758227856706854
ADAL,453.12099339025445,-0.46323946581859915,0.13407226533010036,-3.455147600274029,0.0005499916435990535,0.013873126895320585
ZSCAN29,2170.721356342761,0.27127747453493783,0.16415017454468014,1.65261764288346,0.09840870510586631,0.2927295845146365
TUBGCP4,2486.083018202392,-0.0901545005180947,0.11995629798875256,-0.7515612104547262,0.4523149775951292,0.6840014889379079
TP53BP1,14059.74973026594,-0.11579507074000532,0.11065525496498352,-1.0464489081575772,0.2953538221020573,0.5454052110535939
MAP1A,14680.4214526225,-0.516998495978155,0.2788318899954749,-1.8541584177711712,0.063716499128024,0.22811409727920834
PPIP5K1,526.0490199780196,-0.3889812793686147,0.18506481786686169,-2.1018650862556356,0.03556509569862478,0.16303592043579793
CKMT1B,174.5323071283144,-0.8085330006872751,0.3720165163710404,-2.1733793127638013,0.029751780523379224,0.14808533516486183
STRC,87.43819655755519,-0.6751279392572551,0.5090415208784536,-1.3262728315210635,0.1847493425742721,0.4188849795833168
CATSPER2,241.86714877282756,-0.9819727617541731,0.4421300095315616,-2.2210045474962827,0.02635065338746422,0.1388512585334831
CKMT1A,91.0633295081655,-0.8813788451692167,0.4322786065445863,-2.0389138667178273,0.04145862471170909,0.17698620841572824
CATSPER2P1,49.9444198518292,-0.4925448493443037,0.32361622504765547,-1.5220029504755885,0.12800834140552264,0.342321166001985
PDIA3,6611.260999959748,-0.06572210854928587,0.23712054924808754,-0.2771674945832049,0.7816514977674117,0.8963885302659961
ELL3,92.94571336250085,-0.18648181145618714,0.1780438826948419,-1.0473924104194436,0.2949186306823439,0.5449977639997623
SERF2,285.2945894141562,0.208066282233042,0.1732337847582147,1.2010721957235053,0.22972319737723823,0.4739202414241092
SERINC4,389.55854938991905,-0.08274871771032012,0.28584017487607316,-0.2894929578957754,0.772204168091614,0.8913470219628529
MFAP1,2246.9439358286854,0.07845876552844964,0.12477551433877444,0.6287993757767929,0.5294804087541488,0.7393227703635472
WDR76,496.93363466506673,0.38323120419184087,0.2501030472942554,1.5322932220851961,0.12545009293977474,0.33859974164422735
FRMD5,2003.9795850842079,-0.4503502200033671,0.22441789137592097,-2.0067482910664567,0.04477647124488804,0.1847494965184152
PIN4P1,80.90239962277893,-0.5630342658743142,0.36160885800950454,-1.5570256463670902,0.1194643965202827,0.328119564288683
CASC4,5671.7702122763,-0.23420117557991926,0.15316156731324412,-1.5291119024718125,0.12623670517078964,0.33952079886412473
CTDSPL2,2354.897436189775,0.4003591510805226,0.14602661469561148,2.741686177653713,0.006112470968299826,0.05819782274788225
EIF3J-AS1,392.87084507077276,-0.12187431926638992,0.09391402507537625,-1.2977222429618205,0.19438279748745735,0.4309791408422917
EIF3J,1377.0095947435077,-0.10978902769935708,0.06763631917456793,-1.6232259389514365,0.10454111481308567,0.3037328350035694
SPG11,4346.1560642985005,-0.15665330962058868,0.13754308444761296,-1.1389399201691917,0.2547282137864676,0.5020094481131495
PATL2,80.88271770851829,0.649911582774117,0.5349236916988429,1.2149612979565152,0.22438085272865282,0.46768976058406014
B2M,11874.270693491844,0.5170976414099628,0.8768846495424636,0.5896985899796187,0.5553927407070487,0.7567846991396424
LOC100419583,1616.3376692811503,-0.15990537065517554,0.48825025008299555,-0.32750699181002757,0.7432844556018114,0.8746623905193264
TRIM69,147.67098720160226,0.020951910398507915,0.4064382314089466,0.0515500481484644,0.9588872221800506,0.981202257762598
